round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
4,2021,2020-10-17,0,RB Leipzig,1.7,2,0,0.7,Augsburg,0,WWK Arena,Felix Brych
4,2021,2020-10-17,0,Leverkusen,0.5,1,0,0.3,Mainz 05,250,Opel Arena,Bastian Dankert
4,2021,2020-10-17,0,Bayern Munich,2.6,4,1,1.4,Arminia,0,SchücoArena,Daniel Siebert
4,2021,2020-10-17,0,Wolfsburg,1.2,1,1,1.6,M'Gladbach,300,Stadion im Borussia-Park,Daniel Schlager
4,2021,2020-10-18,0,Eint Frankfurt,2.1,1,1,1.1,Köln,300,RheinEnergieSTADION,Sven Jablonski
4,2021,2020-10-18,0,Union Berlin,0.9,1,1,0.3,Schalke 04,300,Veltins-Arena,Patrick Ittrich
5,2021,2020-10-23,0,Köln,2.2,1,1,0.7,Stuttgart,0,Mercedes-Benz Arena,Guido Winkmann
5,2021,2020-10-24,0,Freiburg,0.4,1,1,1.3,Union Berlin,4500,Stadion An der Alten Försterei,Robert Schröder
5,2021,2020-10-24,0,Hertha BSC,0.9,1,2,2.3,RB Leipzig,999,Red Bull Arena,Tobias Stieler
5,2021,2020-10-24,0,M'Gladbach,2.9,3,2,1.7,Mainz 05,100,Opel Arena,Frank Willenborg
5,2021,2020-10-24,0,Eint Frankfurt,0.5,0,5,3.4,Bayern Munich,0,Allianz Arena,Markus Schmidt
5,2021,2020-10-24,0,Schalke 04,0.2,0,3,1.5,Dortmund,300,Signal Iduna Park,Felix Zwayer
5,2021,2020-10-25,0,Arminia,0.4,1,2,2.1,Wolfsburg,4519,Volkswagen Arena,Manuel Gräfe
5,2021,2020-10-25,0,Hoffenheim,1.2,1,1,0.3,Werder Bremen,0,Weserstadion,Daniel Schlager
5,2021,2020-10-26,0,Augsburg,0.4,1,3,2.8,Leverkusen,0,BayArena,Sören Storks
6,2021,2020-10-30,0,Stuttgart,1.6,1,1,0.5,Schalke 04,0,Veltins-Arena,Benjamin Brand
6,2021,2020-10-31,0,Dortmund,2.7,2,0,0.2,Arminia,0,SchücoArena,Bastian Dankert
6,2021,2020-10-31,0,Bayern Munich,1,2,1,1,Köln,0,RheinEnergieSTADION,Frank Willenborg
6,2021,2020-10-31,0,Mainz 05,0.8,1,3,2,Augsburg,0,WWK Arena,Marco Fritz
6,2021,2020-10-31,0,Werder Bremen,0.9,1,1,2,Eint Frankfurt,0,Commerzbank-Arena,Felix Brych
6,2021,2020-10-31,0,RB Leipzig,0.9,0,1,0.5,M'Gladbach,0,Stadion im Borussia-Park,Daniel Siebert
6,2021,2020-11-01,0,Leverkusen,1.5,4,2,1.1,Freiburg,0,Schwarzwald-Stadion,Benjamin Cortus
6,2021,2020-11-01,0,Wolfsburg,0.5,1,1,1.2,Hertha BSC,0,Olympiastadion Berlin,Martin Petersen
6,2021,2020-11-02,0,Union Berlin,4,3,1,1.3,Hoffenheim,0,PreZero Arena,Robert Hartmann
7,2021,2020-11-06,0,Köln,0.4,1,1,1.7,Werder Bremen,0,Weserstadion,Florian Badstübner
7,2021,2020-11-07,0,Hertha BSC,2.4,3,0,0.7,Augsburg,0,WWK Arena,Frank Willenborg
7,2021,2020-11-07,0,Freiburg,1,0,3,2,RB Leipzig,0,Red Bull Arena,Felix Zwayer
7,2021,2020-11-07,0,Schalke 04,1.7,2,2,3.1,Mainz 05,0,Opel Arena,Patrick Ittrich
7,2021,2020-11-07,0,Eint Frankfurt,2.4,2,2,2.3,Stuttgart,0,Mercedes-Benz Arena,Sascha Stegemann
7,2021,2020-11-07,0,Arminia,0.3,0,5,2.1,Union Berlin,0,Stadion An der Alten Försterei,Matthias Jöllenbeck
7,2021,2020-11-07,0,Bayern Munich,1.1,3,2,2,Dortmund,0,Signal Iduna Park,Manuel Gräfe
7,2021,2020-11-08,0,Hoffenheim,2,1,2,2,Wolfsburg,0,Volkswagen Arena,Sven Jablonski
7,2021,2020-11-08,0,M'Gladbach,2.5,3,4,1.6,Leverkusen,0,BayArena,Harm Osmers
8,2021,2020-11-21,0,Leverkusen,1.5,2,1,0,Arminia,0,SchücoArena,Felix Brych
8,2021,2020-11-21,0,Werder Bremen,1.4,1,1,1.2,Bayern Munich,0,Allianz Arena,Guido Winkmann
8,2021,2020-11-21,0,Wolfsburg,2.1,2,0,0.9,Schalke 04,0,Veltins-Arena,Marco Fritz
8,2021,2020-11-21,0,Augsburg,0.7,1,1,2,M'Gladbach,0,Stadion im Borussia-Park,Markus Schmidt
8,2021,2020-11-21,0,Stuttgart,2.1,3,3,1.9,Hoffenheim,0,PreZero Arena,Daniel Siebert
8,2021,2020-11-21,0,RB Leipzig,0.9,1,1,1.1,Eint Frankfurt,0,Commerzbank-Arena,Sören Storks
8,2021,2020-11-21,0,Dortmund,3.5,5,2,1.3,Hertha BSC,0,Olympiastadion Berlin,Bastian Dankert
8,2021,2020-11-22,0,Mainz 05,2.8,3,1,2.2,Freiburg,0,Schwarzwald-Stadion,Martin Petersen
8,2021,2020-11-22,0,Union Berlin,1.9,2,1,0.7,Köln,0,RheinEnergieSTADION,Tobias Stieler
9,2021,2020-11-27,0,Werder Bremen,1,3,5,1.8,Wolfsburg,0,Volkswagen Arena,Christian Dingert
9,2021,2020-11-28,0,Köln,1.6,2,1,2.9,Dortmund,0,Signal Iduna Park,Benjamin Brand
9,2021,2020-11-28,0,Arminia,1.3,1,2,2.3,RB Leipzig,0,Red Bull Arena,Robert Hartmann
9,2021,2020-11-28,0,Freiburg,0.8,1,1,0.4,Augsburg,0,WWK Arena,Robert Schröder
9,2021,2020-11-28,0,Bayern Munich,1,3,1,1.8,Stuttgart,0,Mercedes-Benz Arena,Harm Osmers
9,2021,2020-11-28,0,Eint Frankfurt,2,3,3,2.8,Union Berlin,0,Stadion An der Alten Försterei,Tobias Reichel
9,2021,2020-11-28,0,Schalke 04,1,1,4,3.1,M'Gladbach,0,Stadion im Borussia-Park,Manuel Gräfe
9,2021,2020-11-29,0,Hertha BSC,0.4,0,0,0.7,Leverkusen,0,BayArena,Daniel Schlager
9,2021,2020-11-29,0,Hoffenheim,1,1,1,1.4,Mainz 05,0,Opel Arena,Sascha Stegemann
10,2021,2020-12-04,0,Union Berlin,0.4,1,3,0.7,Hertha BSC,0,Olympiastadion Berlin,Felix Brych
10,2021,2020-12-05,0,Mainz 05,2,1,2,0.8,Arminia,0,SchücoArena,Marco Fritz
10,2021,2020-12-05,0,M'Gladbach,1.3,2,2,3.3,Freiburg,0,Schwarzwald-Stadion,Tobias Stieler
10,2021,2020-12-05,0,Dortmund,1.2,1,1,0.8,Eint Frankfurt,0,Commerzbank-Arena,Guido Winkmann
10,2021,2020-12-05,0,Wolfsburg,1.6,2,2,0.7,Köln,0,RheinEnergieSTADION,Sven Jablonski
10,2021,2020-12-05,0,RB Leipzig,1.5,3,3,1.2,Bayern Munich,0,Allianz Arena,Daniel Siebert
10,2021,2020-12-06,0,Stuttgart,2.3,2,1,0.8,Werder Bremen,0,Weserstadion,Frank Willenborg
10,2021,2020-12-06,0,Leverkusen,2.5,3,0,1.3,Schalke 04,0,Veltins-Arena,Benjamin Cortus
10,2021,2020-12-07,0,Augsburg,0.9,1,3,1.4,Hoffenheim,0,PreZero Arena,Florian Badstübner
11,2021,2020-12-11,0,Eint Frankfurt,1.5,1,2,2.8,Wolfsburg,0,Volkswagen Arena,Markus Schmidt
11,2021,2020-12-12,0,Hertha BSC,0.5,1,1,1.4,M'Gladbach,0,Stadion im Borussia-Park,Robert Hartmann
11,2021,2020-12-12,0,Stuttgart,3.9,5,1,0.8,Dortmund,0,Signal Iduna Park,Christian Dingert
11,2021,2020-12-12,0,Arminia,0.2,0,2,2.7,Freiburg,0,Schwarzwald-Stadion,Harm Osmers
11,2021,2020-12-12,0,Köln,1,1,0,1.7,Mainz 05,0,Opel Arena,Felix Zwayer
11,2021,2020-12-12,0,Werder Bremen,0.4,0,2,2.7,RB Leipzig,0,Red Bull Arena,Sören Storks
11,2021,2020-12-12,0,Bayern Munich,0.9,1,1,1.3,Union Berlin,0,Stadion An der Alten Försterei,Bastian Dankert
11,2021,2020-12-13,0,Schalke 04,1.9,2,2,1,Augsburg,0,WWK Arena,Manuel Gräfe
11,2021,2020-12-13,0,Hoffenheim,1.6,1,4,2.3,Leverkusen,0,BayArena,Martin Petersen
12,2021,2020-12-15,0,M'Gladbach,1.6,3,3,2.2,Eint Frankfurt,0,Commerzbank-Arena,Benjamin Cortus
12,2021,2020-12-15,0,Dortmund,2.8,2,1,0.2,Werder Bremen,0,Weserstadion,Robert Schröder
12,2021,2020-12-15,0,Union Berlin,0.8,2,2,1.7,Stuttgart,0,Mercedes-Benz Arena,Sascha Stegemann
12,2021,2020-12-15,0,Mainz 05,0.5,0,0,0.6,Hertha BSC,0,Olympiastadion Berlin,Matthias Jöllenbeck
12,2021,2020-12-16,0,Freiburg,1.4,2,0,0.4,Schalke 04,0,Veltins-Arena,Sven Jablonski
12,2021,2020-12-16,0,RB Leipzig,0.3,1,0,0.8,Hoffenheim,0,PreZero Arena,Daniel Schlager
12,2021,2020-12-16,0,Leverkusen,1.5,4,0,0.7,Köln,0,RheinEnergieSTADION,Tobias Stieler
12,2021,2020-12-16,0,Wolfsburg,1.1,1,2,1.9,Bayern Munich,0,Allianz Arena,Marco Fritz
12,2021,2020-12-16,0,Augsburg,0.6,1,0,0.8,Arminia,0,SchücoArena,Patrick Ittrich
13,2021,2020-12-18,0,Dortmund,1.7,1,2,1.1,Union Berlin,0,Stadion An der Alten Försterei,Harm Osmers
13,2021,2020-12-19,0,Hoffenheim,1.8,2,1,1.8,M'Gladbach,0,Stadion im Borussia-Park,Frank Willenborg
13,2021,2020-12-19,0,Werder Bremen,0.9,1,0,0.5,Mainz 05,0,Opel Arena,Guido Winkmann
13,2021,2020-12-19,0,Arminia,0.7,1,0,0.6,Schalke 04,0,Veltins-Arena,Bastian Dankert
13,2021,2020-12-19,0,Köln,0.5,0,0,2.2,RB Leipzig,0,Red Bull Arena,Felix Brych
13,2021,2020-12-19,0,Eint Frankfurt,1.3,2,0,2,Augsburg,0,WWK Arena,Daniel Siebert
13,2021,2020-12-19,0,Bayern Munich,1.3,2,1,0.3,Leverkusen,0,BayArena,Felix Zwayer
13,2021,2020-12-20,0,Hertha BSC,1.8,1,4,2.8,Freiburg,0,Schwarzwald-Stadion,Tobias Reichel
13,2021,2020-12-20,0,Stuttgart,1.7,0,1,1.8,Wolfsburg,0,Volkswagen Arena,Florian Badstübner
14,2021,2021-01-02,1,Köln,0.5,0,1,1.3,Augsburg,0,RheinEnergieSTADION,Sören Storks
14,2021,2021-01-02,1,Arminia,0.2,0,1,2.6,M'Gladbach,0,SchücoArena,Sascha Stegemann
14,2021,2021-01-02,1,Eint Frankfurt,1.4,2,1,0.7,Leverkusen,0,Commerzbank-Arena,Felix Brych
14,2021,2021-01-02,1,Werder Bremen,1,0,2,0.8,Union Berlin,0,Weserstadion,Tobias Stieler
14,2021,2021-01-02,1,Hoffenheim,1.2,1,3,1.9,Freiburg,0,PreZero Arena,Robert Hartmann
14,2021,2021-01-02,1,Hertha BSC,2.3,3,0,0.9,Schalke 04,0,Olympiastadion Berlin,Sven Jablonski
14,2021,2021-01-02,1,Stuttgart,1.1,0,1,3.2,RB Leipzig,0,Mercedes-Benz Arena,Christian Dingert
14,2021,2021-01-03,1,Dortmund,1.8,2,0,1.6,Wolfsburg,0,Signal Iduna Park,Manuel Gräfe
14,2021,2021-01-03,1,Bayern Munich,3.5,5,2,1.5,Mainz 05,0,Allianz Arena,Markus Schmidt
15,2021,2021-01-08,1,M'Gladbach,1.3,3,2,1.4,Bayern Munich,0,Stadion im Borussia-Park,Harm Osmers
15,2021,2021-01-09,1,Schalke 04,2,4,0,2.4,Hoffenheim,0,Veltins-Arena,Felix Zwayer
15,2021,2021-01-09,1,Union Berlin,1.4,2,2,1.8,Wolfsburg,0,Stadion An der Alten Försterei,Patrick Ittrich
15,2021,2021-01-09,1,Mainz 05,1.2,0,2,2.3,Eint Frankfurt,0,Opel Arena,Bastian Dankert
15,2021,2021-01-09,1,Leverkusen,0.8,1,1,0.4,Werder Bremen,0,BayArena,Benjamin Cortus
15,2021,2021-01-09,1,Freiburg,2.9,5,0,0.2,Köln,0,Schwarzwald-Stadion,Robert Schröder
15,2021,2021-01-09,1,RB Leipzig,1,1,3,2.2,Dortmund,0,Red Bull Arena,Daniel Siebert
15,2021,2021-01-10,1,Augsburg,1,1,4,4,Stuttgart,0,WWK Arena,Daniel Schlager
15,2021,2021-01-10,1,Arminia,0.8,1,0,0.8,Hertha BSC,0,SchücoArena,Guido Winkmann
16,2021,2021-01-15,1,Union Berlin,1.3,1,0,1.3,Leverkusen,0,Stadion An der Alten Försterei,Florian Badstübner
16,2021,2021-01-16,1,Dortmund,2.4,1,1,0.8,Mainz 05,0,Signal Iduna Park,Sven Jablonski
16,2021,2021-01-16,1,Köln,0.3,0,0,0.9,Hertha BSC,0,RheinEnergieSTADION,Frank Willenborg
16,2021,2021-01-16,1,Hoffenheim,0.7,0,0,0.8,Arminia,0,PreZero Arena,Marco Fritz
16,2021,2021-01-16,1,Wolfsburg,1.2,2,2,2.1,RB Leipzig,0,Volkswagen Arena,Tobias Stieler
16,2021,2021-01-16,1,Werder Bremen,1.2,2,0,0.5,Augsburg,0,Weserstadion,Sascha Stegemann
16,2021,2021-01-16,1,Stuttgart,2,2,2,1.5,M'Gladbach,0,Mercedes-Benz Arena,Felix Brych
16,2021,2021-01-17,1,Bayern Munich,2.7,2,1,1,Freiburg,0,Allianz Arena,Christian Dingert
16,2021,2021-01-17,1,Eint Frankfurt,1.7,3,1,0.2,Schalke 04,0,Commerzbank-Arena,Manuel Gräfe
17,2021,2021-01-19,1,M'Gladbach,0.8,1,0,1.1,Werder Bremen,0,Stadion im Borussia-Park,Martin Petersen
17,2021,2021-01-19,1,Mainz 05,0.4,0,2,1.1,Wolfsburg,0,Opel Arena,Sören Storks
17,2021,2021-01-19,1,Leverkusen,1.8,2,1,2.1,Dortmund,0,BayArena,Felix Zwayer
17,2021,2021-01-19,1,Hertha BSC,1.4,0,3,1.3,Hoffenheim,0,Olympiastadion Berlin,Harm Osmers
17,2021,2021-01-20,1,Schalke 04,1.4,1,2,1.6,Köln,0,Veltins-Arena,Daniel Siebert
17,2021,2021-01-20,1,RB Leipzig,1.4,1,0,0.3,Union Berlin,0,Red Bull Arena,Markus Schmidt
17,2021,2021-01-20,1,Freiburg,0.7,2,2,1.4,Eint Frankfurt,0,Schwarzwald-Stadion,Guido Winkmann
17,2021,2021-01-20,1,Arminia,2.1,3,0,0.9,Stuttgart,0,SchücoArena,Robert Hartmann
17,2021,2021-01-20,1,Augsburg,1.2,0,1,2,Bayern Munich,0,WWK Arena,Matthias Jöllenbeck
18,2021,2021-01-22,1,M'Gladbach,1.8,4,2,1.2,Dortmund,0,Stadion im Borussia-Park,Manuel Gräfe
18,2021,2021-01-23,1,Arminia,0.6,1,5,2.4,Eint Frankfurt,0,SchücoArena,Robert Schröder
18,2021,2021-01-23,1,Leverkusen,1,0,1,1.1,Wolfsburg,0,BayArena,Marco Fritz
18,2021,2021-01-23,1,Augsburg,1,2,1,1.5,Union Berlin,0,WWK Arena,Felix Brych
18,2021,2021-01-23,1,Mainz 05,1.6,3,2,1.4,RB Leipzig,0,Opel Arena,Christian Dingert
18,2021,2021-01-23,1,Freiburg,1.2,2,1,2.5,Stuttgart,0,Schwarzwald-Stadion,Tobias Stieler
18,2021,2021-01-23,1,Hertha BSC,1.9,1,4,1.5,Werder Bremen,0,Olympiastadion Berlin,Daniel Schlager
18,2021,2021-01-24,1,Schalke 04,0.7,0,4,3.1,Bayern Munich,0,Veltins-Arena,Sascha Stegemann
18,2021,2021-01-24,1,Hoffenheim,2.2,3,0,2,Köln,0,PreZero Arena,Sven Jablonski
19,2021,2021-01-29,1,Stuttgart,1,2,0,0.5,Mainz 05,0,Mercedes-Benz Arena,Frank Willenborg
19,2021,2021-01-30,1,Dortmund,1.8,3,1,0.5,Augsburg,0,Signal Iduna Park,Patrick Ittrich
19,2021,2021-01-30,1,Union Berlin,0.5,1,1,0.9,M'Gladbach,0,Stadion An der Alten Försterei,Bastian Dankert
19,2021,2021-01-30,1,Eint Frankfurt,2.3,3,1,0.5,Hertha BSC,0,Commerzbank-Arena,Florian Badstübner
19,2021,2021-01-30,1,Bayern Munich,2,4,1,2.1,Hoffenheim,0,Allianz Arena,Benjamin Cortus
19,2021,2021-01-30,1,Werder Bremen,0.7,1,1,0.3,Schalke 04,0,Weserstadion,Sören Storks
19,2021,2021-01-30,1,RB Leipzig,1.7,1,0,0.5,Leverkusen,0,Red Bull Arena,Harm Osmers
19,2021,2021-01-31,1,Köln,1.7,3,1,1.5,Arminia,0,RheinEnergieSTADION,Felix Zwayer
19,2021,2021-01-31,1,Wolfsburg,2.3,3,0,0.7,Freiburg,0,Volkswagen Arena,Tobias Reichel
20,2021,2021-02-05,1,Hertha BSC,1.4,0,1,2.4,Bayern Munich,0,Olympiastadion Berlin,Robert Schröder
20,2021,2021-02-06,1,Leverkusen,3.9,5,2,1.5,Stuttgart,0,BayArena,Sven Jablonski
20,2021,2021-02-06,1,Schalke 04,0.2,0,3,2.1,RB Leipzig,0,Veltins-Arena,Martin Petersen
20,2021,2021-02-06,1,Augsburg,0.6,0,2,2.3,Wolfsburg,0,WWK Arena,Robert Hartmann
20,2021,2021-02-06,1,Freiburg,0.2,2,1,1.5,Dortmund,0,Schwarzwald-Stadion,Felix Brych
20,2021,2021-02-06,1,Mainz 05,1.9,1,0,0.8,Union Berlin,0,Opel Arena,Sascha Stegemann
20,2021,2021-02-06,1,M'Gladbach,0.8,1,2,0.5,Köln,0,Stadion im Borussia-Park,Christian Dingert
20,2021,2021-02-07,1,Hoffenheim,0.9,1,3,1,Eint Frankfurt,0,PreZero Arena,Daniel Siebert
14,2021,2021-01-02,0,Augsburg,1.3,1,0,0.5,Köln,0,RheinEnergieSTADION,Sören Storks
14,2021,2021-01-02,0,M'Gladbach,2.6,1,0,0.2,Arminia,0,SchücoArena,Sascha Stegemann
14,2021,2021-01-02,0,Leverkusen,0.7,1,2,1.4,Eint Frankfurt,0,Commerzbank-Arena,Felix Brych
14,2021,2021-01-02,0,Union Berlin,0.8,2,0,1,Werder Bremen,0,Weserstadion,Tobias Stieler
14,2021,2021-01-02,0,Freiburg,1.9,3,1,1.2,Hoffenheim,0,PreZero Arena,Robert Hartmann
14,2021,2021-01-02,0,Schalke 04,0.9,0,3,2.3,Hertha BSC,0,Olympiastadion Berlin,Sven Jablonski
14,2021,2021-01-02,0,RB Leipzig,3.2,1,0,1.1,Stuttgart,0,Mercedes-Benz Arena,Christian Dingert
14,2021,2021-01-03,0,Wolfsburg,1.6,0,2,1.8,Dortmund,0,Signal Iduna Park,Manuel Gräfe
14,2021,2021-01-03,0,Mainz 05,1.5,2,5,3.5,Bayern Munich,0,Allianz Arena,Markus Schmidt
15,2021,2021-01-08,0,Bayern Munich,1.4,2,3,1.3,M'Gladbach,0,Stadion im Borussia-Park,Harm Osmers
15,2021,2021-01-09,0,Hoffenheim,2.4,0,4,2,Schalke 04,0,Veltins-Arena,Felix Zwayer
15,2021,2021-01-09,0,Wolfsburg,1.8,2,2,1.4,Union Berlin,0,Stadion An der Alten Försterei,Patrick Ittrich
15,2021,2021-01-09,0,Eint Frankfurt,2.3,2,0,1.2,Mainz 05,0,Opel Arena,Bastian Dankert
15,2021,2021-01-09,0,Werder Bremen,0.4,1,1,0.8,Leverkusen,0,BayArena,Benjamin Cortus
15,2021,2021-01-09,0,Köln,0.2,0,5,2.9,Freiburg,0,Schwarzwald-Stadion,Robert Schröder
15,2021,2021-01-09,0,Dortmund,2.2,3,1,1,RB Leipzig,0,Red Bull Arena,Daniel Siebert
15,2021,2021-01-10,0,Stuttgart,4,4,1,1,Augsburg,0,WWK Arena,Daniel Schlager
15,2021,2021-01-10,0,Hertha BSC,0.8,0,1,0.8,Arminia,0,SchücoArena,Guido Winkmann
16,2021,2021-01-15,0,Leverkusen,1.3,0,1,1.3,Union Berlin,0,Stadion An der Alten Försterei,Florian Badstübner
16,2021,2021-01-16,0,Mainz 05,0.8,1,1,2.4,Dortmund,0,Signal Iduna Park,Sven Jablonski
16,2021,2021-01-16,0,Hertha BSC,0.9,0,0,0.3,Köln,0,RheinEnergieSTADION,Frank Willenborg
16,2021,2021-01-16,0,Arminia,0.8,0,0,0.7,Hoffenheim,0,PreZero Arena,Marco Fritz
16,2021,2021-01-16,0,RB Leipzig,2.1,2,2,1.2,Wolfsburg,0,Volkswagen Arena,Tobias Stieler
16,2021,2021-01-16,0,Augsburg,0.5,0,2,1.2,Werder Bremen,0,Weserstadion,Sascha Stegemann
16,2021,2021-01-16,0,M'Gladbach,1.5,2,2,2,Stuttgart,0,Mercedes-Benz Arena,Felix Brych
16,2021,2021-01-17,0,Freiburg,1,1,2,2.7,Bayern Munich,0,Allianz Arena,Christian Dingert
16,2021,2021-01-17,0,Schalke 04,0.2,1,3,1.7,Eint Frankfurt,0,Commerzbank-Arena,Manuel Gräfe
17,2021,2021-01-19,0,Werder Bremen,1.1,0,1,0.8,M'Gladbach,0,Stadion im Borussia-Park,Martin Petersen
17,2021,2021-01-19,0,Wolfsburg,1.1,2,0,0.4,Mainz 05,0,Opel Arena,Sören Storks
17,2021,2021-01-19,0,Dortmund,2.1,1,2,1.8,Leverkusen,0,BayArena,Felix Zwayer
17,2021,2021-01-19,0,Hoffenheim,1.3,3,0,1.4,Hertha BSC,0,Olympiastadion Berlin,Harm Osmers
17,2021,2021-01-20,0,Köln,1.6,2,1,1.4,Schalke 04,0,Veltins-Arena,Daniel Siebert
17,2021,2021-01-20,0,Union Berlin,0.3,0,1,1.4,RB Leipzig,0,Red Bull Arena,Markus Schmidt
17,2021,2021-01-20,0,Eint Frankfurt,1.4,2,2,0.7,Freiburg,0,Schwarzwald-Stadion,Guido Winkmann
17,2021,2021-01-20,0,Stuttgart,0.9,0,3,2.1,Arminia,0,SchücoArena,Robert Hartmann
17,2021,2021-01-20,0,Bayern Munich,2,1,0,1.2,Augsburg,0,WWK Arena,Matthias Jöllenbeck
18,2021,2021-01-22,0,Dortmund,1.2,2,4,1.8,M'Gladbach,0,Stadion im Borussia-Park,Manuel Gräfe
18,2021,2021-01-23,0,Eint Frankfurt,2.4,5,1,0.6,Arminia,0,SchücoArena,Robert Schröder
18,2021,2021-01-23,0,Wolfsburg,1.1,1,0,1,Leverkusen,0,BayArena,Marco Fritz
18,2021,2021-01-23,0,Union Berlin,1.5,1,2,1,Augsburg,0,WWK Arena,Felix Brych
18,2021,2021-01-23,0,RB Leipzig,1.4,2,3,1.6,Mainz 05,0,Opel Arena,Christian Dingert
18,2021,2021-01-23,0,Stuttgart,2.5,1,2,1.2,Freiburg,0,Schwarzwald-Stadion,Tobias Stieler
18,2021,2021-01-23,0,Werder Bremen,1.5,4,1,1.9,Hertha BSC,0,Olympiastadion Berlin,Daniel Schlager
18,2021,2021-01-24,0,Bayern Munich,3.1,4,0,0.7,Schalke 04,0,Veltins-Arena,Sascha Stegemann
18,2021,2021-01-24,0,Köln,2,0,3,2.2,Hoffenheim,0,PreZero Arena,Sven Jablonski
19,2021,2021-01-29,0,Mainz 05,0.5,0,2,1,Stuttgart,0,Mercedes-Benz Arena,Frank Willenborg
19,2021,2021-01-30,0,Augsburg,0.5,1,3,1.8,Dortmund,0,Signal Iduna Park,Patrick Ittrich
19,2021,2021-01-30,0,M'Gladbach,0.9,1,1,0.5,Union Berlin,0,Stadion An der Alten Försterei,Bastian Dankert
19,2021,2021-01-30,0,Hertha BSC,0.5,1,3,2.3,Eint Frankfurt,0,Commerzbank-Arena,Florian Badstübner
19,2021,2021-01-30,0,Hoffenheim,2.1,1,4,2,Bayern Munich,0,Allianz Arena,Benjamin Cortus
19,2021,2021-01-30,0,Schalke 04,0.3,1,1,0.7,Werder Bremen,0,Weserstadion,Sören Storks
19,2021,2021-01-30,0,Leverkusen,0.5,0,1,1.7,RB Leipzig,0,Red Bull Arena,Harm Osmers
19,2021,2021-01-31,0,Arminia,1.5,1,3,1.7,Köln,0,RheinEnergieSTADION,Felix Zwayer
19,2021,2021-01-31,0,Freiburg,0.7,0,3,2.3,Wolfsburg,0,Volkswagen Arena,Tobias Reichel
20,2021,2021-02-05,0,Bayern Munich,2.4,1,0,1.4,Hertha BSC,0,Olympiastadion Berlin,Robert Schröder
20,2021,2021-02-06,0,Stuttgart,1.5,2,5,3.9,Leverkusen,0,BayArena,Sven Jablonski
20,2021,2021-02-06,0,RB Leipzig,2.1,3,0,0.2,Schalke 04,0,Veltins-Arena,Martin Petersen
20,2021,2021-02-06,0,Wolfsburg,2.3,2,0,0.6,Augsburg,0,WWK Arena,Robert Hartmann
20,2021,2021-02-06,0,Dortmund,1.5,1,2,0.2,Freiburg,0,Schwarzwald-Stadion,Felix Brych
20,2021,2021-02-06,0,Union Berlin,0.8,0,1,1.9,Mainz 05,0,Opel Arena,Sascha Stegemann
20,2021,2021-02-06,0,Köln,0.5,2,1,0.8,M'Gladbach,0,Stadion im Borussia-Park,Christian Dingert
20,2021,2021-02-07,0,Eint Frankfurt,1,3,1,0.9,Hoffenheim,0,PreZero Arena,Daniel Siebert
